x0,x1,top,text,bottom,page_number,layout_type,in_row,layoutno
83.0,160.33333333333334,1.6666666666666667,2024-05-22 10:01:03,13.333333333333334,1,,0,
82.0,286.0,12.666666666666666,：https://link.cnki.net/urlid/35.1073.R.20240521.1659.001,25.0,1,header,0,header-0
61.0,238.66666666666666,52.0,福建中医药年月第卷第期Fujian Jour na2l 02o4f TC 3M Ma rc h 5 5 202 4，5 5 （3 3）,75.0,1,text,0,text-0
535.0,547.6666666666666,62.666666666666664,13,73.33333333333333,1,header,1,header-1
115.66666666666667,495.6666666666667,111.0,电针肾俞、足三里调控脊髓背角Nrf2、miR-144-3p表达,126.0,1,title,0,title-0
225.0,386.3333333333333,131.66666666666666,治疗糖尿病周围神经痛,146.66666666666666,1,title,0,title-0
164.0,450.0,162.0,兰艳艳1，杨婷2，黄秋玲1，庞莉娜3，陈小梅1，王志福1，俞向梅4*,173.66666666666666,1,text,0,text-2
115.66666666666667,494.0,176.33333333333334,（福建中医药大学附属康复医院，福建福州；2. 福建中医药大1. 学康复医学院，福建福州；重庆市3中50医00院3，重庆400021；4. 福建中医药大学中西医结合35学01院22，福3. 建福州350122）,216.66666666666666,1,text,0,text-1
82.0,530.3333333333334,236.33333333333334,摘要：目的从脊髓背角中核因子E2相关因子（Nrf2）及其调控基因miRNA表达的变化，探讨电针肾俞、足三里对糖尿病周围神经痛（DNP）大鼠脊髓背角氧化应激的作用机制。方法将SPF级SD雄性大鼠按随机数字表法分为对照组、模型组、电针组、Nrf2干扰组。对照组不造模，其余各组通过腹腔注射链脲佐菌素构建DNP大鼠模型并结合热痛行为学进行鉴定。模型组不进行干预；电针组取大鼠双侧肾俞、足三里进行电针，每次30 min，隔日1次，干预持续4周；Nrf2干扰组在电针干预前2周脊髓鞘内注射Nrf2干扰病毒。4周后，采用热刺痛仪检测4组大鼠足底热痛潜伏期，原位杂交法与免疫荧光法观察4组大鼠脊髓背角Nrf2与Neun共定位情况，qPCR法检测脊髓背角Nrf2、Keap1、NQO1、HO-1、Catalase mRNA相对表达水平，miR-144-3p、miR-155-5p、miR-17-5p、miR-497-5P相对表达水平。结果与对照组比较，模型组大鼠热痛潜伏期降低（P＜0.05），脊髓背角Nrf2、NQO1、HO-1、Catalase mRNA相对表达水平均降低（P＜0.05），Keap1 mRNA和miR-144-3p相对表达水平升高（P＜0.05），miR-155-5p、miR-17-5p、miR-497-5P相对表达水平差异无统计学意义（P＞0.05）；与模型组比较，电针组DNP大鼠热痛潜伏期显著升高，脊髓背角Nrf2、NQO1、HO-1、Catalase mRNA相对表达水平均升高（P＜0.05），Keap1 mRNA和miR-144-3p相对表达水平降低（P＜0.05），miR-155-5p、miR-17-5p、miR-497-5P相对表达水平差异无统计学意义（P＞0.05）；与电针组比较，Nrf2干扰组鞘内注射Nrf2表达干扰病毒可显著逆转电针镇痛效果，Nrf2干扰组DNP大鼠热痛潜伏期降低（P＜0.05），脊髓背角Nrf2、NQO1、HO-1、Catalase mRNA相对表达水平均降低（P＜0.05），Keap1 mRNA和miR-144-3p相对表达水平升高（P＜0.05），miR-155-5p、miR-17-5p、miR-497-5P相对表达水平差异无统计学意义（P＞0.05）。结论电针肾俞、足三里可能通过下调脊髓背角miR-144-3p表达，提高神经元Nrf2基因表达，抑制Keap-1基因表达，升高NQO1、HO-1、Catalase基因相对表达水平，从而降低DNP大鼠热痛过敏反应。关键词：糖尿病周围神经痛；电针；Nrf2；氧化应激；miR-144-3p,477.0,1,text,0,text-3
61.0,312.6666666666667,494.6666666666667,糖尿病周围神经病变是糖尿病常见的严重微血管并发症，总体患病率约为，其中近/患者出现糖尿病周围神经痛（26%13，），临床主要表现为肢体dia远be端tic感ne觉ur功opa能th障ic 碍pa，in包D括N麻P木、灼烧或刺痛，严重影响患者生活质量［1-3］。年糖尿病周围神经病理性疼痛诊疗专家共识2及018年《》报道明确指2出01，9诱Na导tur的e R氧ev化ie应ws激Di发sea生se是Pr驱im动ers脊髓背角痛觉敏化DN的P关键机制［4-5］。核因子相关因子（，）作为一E种2重要的转录2因NF子-E，2参re与la调ted控fa多cto种r 2抗N氧rf化2基因的转录过程［6］。在慢性疼痛过程中，胞质从释放进入细胞核，进而促进抗氧化应N激rf基2因（K如eap1、、和等）的转录［7-8］。研究表明，H在OD-1NPN发QO生1时SO，脊D髓G背C角LNrf2表达显著,712.3333333333334,1,text,1,text-4
61.0,223.33333333333334,718.6666666666666,收稿日期：；接受日期：,731.0,1,reference,1,reference-0
61.0,294.3333333333333,729.3333333333334,基金项目：2福02建3-省10卫-0健1委医学创新20课23题-1（1-20）；福建省自,741.0,1,reference,1,reference-0
